Grape,Country,Wine name,Wine rating average,Wine ratings count
Pinot Noir,fr,Côtes du Rhône,4.3,8196
Pinot Noir,fr,Blanc de Blancs Brut Champagne (Vintage),4.3,6400
Pinot Noir,us,TD9,4.3,6056
Pinot Noir,us,Lion Tamer Napa Valley Red Blend,4.3,4981
Pinot Noir,fr,Pomerol,4.3,4641
Pinot Noir,fr,Puligny-Montrachet,4.3,4548
Pinot Noir,fr,Saint-Joseph,4.3,3931
Pinot Noir,fr,Pomerol,4.3,3870
Pinot Noir,fr,Domaine des Tourettes Hermitage Rouge,4.3,3806
Pinot Noir,fr,Pur Sang,4.3,3634
Pinot Noir,fr,Chambolle-Musigny,4.3,3455
Pinot Noir,fr,Vacqueyras,4.3,3412
Pinot Noir,fr,Chassagne-Montrachet,4.3,3269
Pinot Noir,us,Merlot (Signature),4.3,2312
Pinot Noir,fr,Bordeaux,4.3,2246
Pinot Noir,fr,Buisson Renard,4.3,2119
Pinot Noir,us,Rapture Cabernet Sauvignon,4.3,2117
Pinot Noir,us,Royal St Robert Cuvée Pinot Noir,4.3,2099
Pinot Noir,fr,Blanc,4.3,2053
Pinot Noir,us,Ulysses,4.3,1980
Pinot Noir,fr,Cuvée Impériale Châteauneuf-du-Pape,4.3,1881
Pinot Noir,fr,Chambertin Grand Cru,4.3,1293
Pinot Noir,fr,Pessac-Léognan Blanc (Grand Cru Classé de Graves),4.3,1182
Pinot Noir,fr,Vosne-Romanée,4.3,1030
Pinot Noir,fr,Puligny-Montrachet Enseignères,4.3,941
Pinot Noir,fr,Sauternes,4.3,938
Pinot Noir,ch,Platinum,4.3,883
Pinot Noir,fr,Domaine Grand Veneur Châteauneuf-Du-Pape Vieilles Vignes,4.3,875
Pinot Noir,fr,Chassagne-Montrachet 1er Cru 'La Maltroie',4.3,779
Pinot Noir,us,Rutherford Cabernet Sauvignon,4.3,655
Pinot Noir,fr,Meursault 1er Cru 'Les Genevrières',4.3,606
Pinot Noir,fr,Vosne-Romanée Premier Cru 'Les Suchots',4.3,601
Pinot Noir,fr,Pommard 1er Cru Les Rugiens-Bas,4.3,592
Pinot Noir,fr,Volnay 1er Cru Les Caillerets,4.3,591
Pinot Noir,fr,Vosne-Romanée Premier Cru Les Suchots,4.3,522
Pinot Noir,fr,Vosne-Romanée 'Les Quartiers de Nuits',4.3,511
Pinot Noir,fr,Clos de Vougeot Grand Cru,4.3,467
Pinot Noir,fr,Puligny-Montrachet Premier Cru Clos du Cailleret,4.3,395
